Order_ID,Order_Date,Customer,Product,Region,Quantity,Unit_Price,Sales
1001,2024-10-16,Customer_115,Laptop,East,4,29756,119024.0
1002,2023-05-23,Customer_755,Laptop,North,10,55802,558020.0
1003,2023-02-02,Customer_31,Laptop,South,4,66737,266948.0
1004,2024-09-08,Customer_28,Keyboard,South,9,55487,499383.0
1005,2023-08-14,Customer_460,Keyboard,East,1,21426,21426.0
1006,2024-12-15,Customer_433,Tablet,East,3,28721,86163.0
1007,2023-12-11,Customer_105,Laptop,West,2,47552,95104.0
1008,2023-12-19,Customer_619,Tablet,North,8,70784,566272.0
1009,2023-05-08,Customer_997,Monitor,North,9,38927,350343.0
1010,2024-10-05,Customer_634,Printer,East,10,25703,257030.0
1011,2024-12-22,Customer_72,Laptop,South,5,10958,54790.0
1012,2023-08-27,Customer_888,Laptop,West,5,59929,299645.0
1013,2024-10-12,Customer_855,Tablet,South,6,47066,282396.0
1014,2023-08-03,Customer_687,Tablet,North,10,22931,229310.0
1015,2024-06-30,Customer_747,Mobile,South,8,50235,401880.0
1016,2023-10-04,Customer_948,Mouse,South,6,7831,46986.0
1017,2023-08-23,Customer_842,Laptop,East,7,35593,249151.0
1018,2023-03-09,Customer_217,Keyboard,East,4,65935,263740.0
1019,2024-02-10,Customer_906,Mouse,West,3,35218,105654.0
1020,2023-05-23,Customer_253,Mouse,East,10,56655,566550.0
1021,2024-08-20,Customer_409,Tablet,South,3,67284,201852.0
1022,2024-05-20,Customer_94,Printer,North,2,20533,41066.0
1023,2024-10-04,Customer_164,Printer,West,10,8826,88260.0
1024,2024-01-30,Customer_391,Keyboard,West,9,33453,301077.0
1025,2024-07-20,Customer_882,Laptop,North,9,35473,319257.0
1026,2024-10-18,Customer_349,Laptop,East,7,21230,148610.0
1027,2024-04-09,Customer_4,Mouse,East,9,23916,215244.0
1028,2024-06-03,Customer_935,Laptop,East,9,26571,239139.0
1029,2023-06-06,Customer_383,Printer,South,9,70014,630126.0
1030,2023-01-01,Customer_614,Tablet,West,1,15162,15162.0
1031,2024-01-07,Customer_900,Printer,East,4,8092,
1032,2023-09-04, customer_900 ,Keyboard,North,2,64199,128398.0
1033,2023-03-12,Customer_779,Keyboard,South,3,62796,188388.0
1034,2024-07-16,Customer_170,Tablet,West,4,71186,284744.0
1035,2024-12-07,Customer_206,Mouse,East,7,49444,346108.0
1036,2024-03-24,Customer_922,Keyboard,West,2,32993,65986.0
1037,2023-08-19,Customer_66,Tablet,North,10,73103,731030.0
1038,2023-08-24,Customer_603,Mobile,North,2,8216,16432.0
1039,2023-08-23,Customer_70,Laptop,East,2,67891,135782.0
1040,2023-09-01,Customer_286,Mouse,West,4,71178,284712.0
1041,2023-05-16,Customer_741,Keyboard,West,4,62493,249972.0
1042,2024-02-21,Customer_195,Laptop,North,7,46938,328566.0
1043,2024-03-09,Customer_421,Monitor,North,2,8444,16888.0
1044,2024-02-17,Customer_746,Tablet,North,4,25612,102448.0
1045,2023-07-14,Customer_550,Monitor,South,7,24550,171850.0
1046,2023-10-13,Customer_474,Mobile,North,8,72632,581056.0
1047,2023-04-11,Customer_52,Mouse,North,2,31482,62964.0
1048,2023-06-20,Customer_417,Monitor,West,4,53065,212260.0
1049,2023-03-02,Customer_169,Monitor,North,7,35260,246820.0
1050,2024-04-10,Customer_293,Monitor,West,3,25390,76170.0
1051,2023-10-31,Customer_223,Laptop,North,6,7992,47952.0
1052,2023-02-21,Customer_599,Monitor,South,1,67062,67062.0
1053,2023-03-24,Customer_872,Mobile,North,10,9407,94070.0
1054,2024-11-22,Customer_883,Mobile,West,2,75168,150336.0
1055,2023-09-10,Customer_593,Keyboard,North,10,11245,112450.0
1056,2024-03-05,Customer_674,Keyboard,East,5,27272,136360.0
1057,2024-11-16,Customer_734,Tablet,South,5,52376,261880.0
1058,2023-05-15,Customer_688,Mouse,East,8,41941,335528.0
1059,2023-03-16,Customer_10,Monitor,North,2,70968,141936.0
1060,2023-08-07,Customer_519,Tablet,South,6,9516,57096.0
1061,2023-09-08,Customer_379,Tablet,South,8,71700,573600.0
1062,2024-12-21,Customer_310,Keyboard,North,9,39740,357660.0
1063,2024-11-10,Customer_107,Mobile,East,2,14529,29058.0
1064,2024-07-20,Customer_160,Tablet,East,10,28107,281070.0
1065,2023-12-18,Customer_209,Mouse,East,9,64532,580788.0
1066,2023-09-15,Customer_928,Printer,North,2,56018,112036.0
1067,2023-10-11,Customer_46,Laptop,East,3,34835,104505.0
1068,2023-06-15,Customer_760,Monitor,West,9,1767,15903.0
1069,2023-04-25,Customer_78,Mouse,South,9,5222,46998.0
1070,2024-01-14,Customer_597,Keyboard,South,7,17204,120428.0
1071,2023-02-12,Customer_316,Tablet,North,6,28035,168210.0
1072,2024-11-29,Customer_256,Mouse,North,6,73885,443310.0
1073,2024-02-21,Customer_998,Keyboard,South,4,21799,87196.0
1074,2023-07-01,Customer_903,Monitor,North,3,44040,132120.0
1075,2024-02-26,Customer_822,Mouse,South,5,21366,106830.0
1076,2024-12-19,Customer_111,Monitor,North,8,29654,237232.0
1077,2023-07-24,Customer_837,Monitor,East,5,30331,151655.0
1078,2023-08-17,Customer_25,Mouse,South,7,43525,304675.0
1079,2023-10-13,Customer_886,Laptop,East,6,67268,403608.0
1080,2024-02-14,Customer_696,Printer,East,1,15618,15618.0
1081,2023-09-25,Customer_183,Keyboard,East,1,14708,14708.0
1082,2024-09-02,Customer_445,Tablet,East,7,79957,559699.0
1083,2024-06-07,Customer_119,Monitor,South,5,6317,31585.0
1084,2024-12-26,Customer_447,Laptop,South,6,57031,342186.0
1085,2023-03-13,Customer_972,Mouse,East,10,41645,416450.0
1086,2024-11-10,Customer_869,Laptop,East,9,41038,369342.0
1087,2024-11-13,Customer_419,Tablet,West,5,73167,365835.0
1088,2023-05-11,Customer_197,Monitor,West,3,75093,225279.0
1089,2023-11-05,Customer_416,Keyboard,North,5,38106,190530.0
1090,2023-08-04,Customer_441,Printer,East,8,58405,467240.0
1091,2024-03-28,Customer_692,Mobile,West,3,11614,34842.0
1092,2023-10-18,Customer_528,Mouse,East,2,31284,62568.0
1093,2024-11-19,Customer_318,Mobile,South,3,3701,11103.0
1094,2023-02-17,Customer_251,Monitor,North,8,54821,438568.0
1095,2024-10-06,Customer_590,Mobile,West,8,52883,423064.0
1096,2023-09-07,Customer_152,Mouse,North,2,56224,112448.0
